stop_id,stop_name,zone_id,stop_lat,stop_lon
56964,Osmangunj,Osmangunj,17.380559,78.475262
56965,Afzalgunj,Afzalgunj,17.373307,78.476932
56966,Darul Shifa,Darul Shifa,17.373269,78.482986
56967,Purani Haveli,Purani Haveli,17.367562,78.481414
56968,Mir Chowk Police Statiom,Mir Chowk Police Statiom,17.363933,78.480452
56969,Bibi Bazar,Bibi Bazar,17.3586,78.47933
56970,Charminar,Charminar,17.358674,78.474011
56971,Shahalibanda,Shahalibanda,17.354689,78.473287
56972,Laldarwaza,Laldarwaza,17.351204,78.472682
56973,Aliabad,Aliabad,17.347454,78.470573
56974,Engine Bowli,Engine Bowli,17.335,78.469
56975,Falaknuma Railway Bridge,Falaknuma Railway Bridge,17.328047,78.474336
56976,Chandrayangutta,Chandrayangutta,17.326967,78.475963
56977,Afzalgunj,Afzalgunj,17.3738,78.478
56978,Cbs,Cbs,17.378225,78.481675
56979,Bandlaguda Depot,Bandlaguda Depot,17.365524,78.588888
56980,Indu Aranya Pallavi,Indu Aranya Pallavi,17.366521,78.582664
56981,Mathuguda,Mathuguda,17.367229,78.579495
56982,Anand Nagar Colony-Boduppal,Anand Nagar Colony-Boduppal,17.369556,78.573783
56983,Bandlaguda Uppal,Bandlaguda Uppal,17.37145,78.569559
56984,Arunodaya Nagar Nagole,Arunodaya Nagar Nagole,17.373452,78.563085
56985,Nagole X Rds,Nagole X Rds,17.376781,78.557753
56986,Nagole Metro Station,Nagole Metro Station,17.390526,78.558748
56987,Uppal X Roads,Uppal X Roads,17.401261,78.560074
56988,Uppal X Roads,Uppal X Roads,17.399935,78.560282
56989,Nagole Metro Station,Nagole Metro Station,17.390557,78.558925
56990,Nagole X Rds,Nagole X Rds,17.376222,78.558044
56991,Snehapuri - Lb Nagar,Snehapuri - Lb Nagar,17.368836,78.557391
56992,Alkapuri 'X' Rds,Alkapuri 'X' Rds,17.364022,78.557313
56993,Kamineni Hospetal-Lb Nagar,Kamineni Hospetal-Lb Nagar,17.35244,78.555676
56994,Lb Nagar,Lb Nagar,17.345933,78.550588
56995,Sagar Ring Road,Sagar Ring Road,17.341523,78.546178
56996,Tkr Kaman,Tkr Kaman,17.337468,78.53614
56997,Gayatri Nagar X Road,Gayatri Nagar X Road,17.337499,78.531372
56998,Manda Mallama 'X' Rds,Manda Mallama 'X' Rds,17.339561,78.523541
56999,Champapet,Champapet,17.342234,78.515518
57000,Owaisi Hospital,Owaisi Hospital,17.343361,78.506885
57001,Midhani Bus Station,Midhani Bus Station,17.339954,78.503793
57002,Drdl Gate Bus Stop,Drdl Gate Bus Stop,17.336877,78.496718
57003,Hafiz Baba Nagar Hyd Bus Stop,Hafiz Baba Nagar Hyd Bus Stop,17.331897,78.490416
57004,Phool Bagh,Phool Bagh,17.330125,78.485963
57005,Chandrayangutta,Chandrayangutta,17.326595,78.476502
57006,Hashamabad,Hashamabad,17.322118,78.468677
57007,Bandlaguda,Bandlaguda,17.316689,78.466389
57008,Palle Cheruvu,Palle Cheruvu,17.315602,78.455987
57009,Mailardevpally,Mailardevpally,17.316097,78.449408
57010,Durga Nagar-Aramghar,Durga Nagar-Aramghar,17.314699,78.443284
57011,Aramghar,Aramghar,17.321924,78.431336
57012,Shivarampally,Shivarampally,17.327056,78.425341
57013,Ws Colony,Ws Colony,17.332649,78.426636
57014,Lal Dhaba,Lal Dhaba,17.341783,78.422857
57015,Dairy Farm Upperpally,Dairy Farm Upperpally,17.345952,78.415732
57016,Upperpally,Upperpally,17.356012,78.422265
57017,Hyderguda X Roads,Hyderguda X Roads,17.363841,78.428089
